"","Monthly.Temperature....Celsius.","Statistics","Country","ISO3","...5"
"1",-0.7227965," Jan Average"," Afghanistan"," AFG",2021
"2",1.7889252," Feb Average"," Afghanistan"," AFG",2021
"3",6.6479325," Mar Average"," Afghanistan"," AFG",2021
"4",13.529653," Apr Average"," Afghanistan"," AFG",2021
"5",18.811602," May Average"," Afghanistan"," AFG",2021
"6",25.430595," Jun Average"," Afghanistan"," AFG",2021
"7",28.008215," Jul Average"," Afghanistan"," AFG",2021
"8",26.263004," Aug Average"," Afghanistan"," AFG",2021
"9",21.933239," Sep Average"," Afghanistan"," AFG",2021
"10",14.529192," Oct Average"," Afghanistan"," AFG",2021
"11",6.011912," Nov Average"," Afghanistan"," AFG",2021
"12",1.4148505," Dec Average"," Afghanistan"," AFG",2021
"13",0.22384045," Jan Average"," Afghanistan"," AFG",2022
"14",1.4957153," Feb Average"," Afghanistan"," AFG",2022
"15",6.7295327," Mar Average"," Afghanistan"," AFG",2022
"16",13.726008," Apr Average"," Afghanistan"," AFG",2022
"17",20.375423," May Average"," Afghanistan"," AFG",2022
"18",26.20627," Jun Average"," Afghanistan"," AFG",2022
"19",28.27889," Jul Average"," Afghanistan"," AFG",2022
"20",27.073528," Aug Average"," Afghanistan"," AFG",2022
"21",21.73857," Sep Average"," Afghanistan"," AFG",2022
"22",14.624375," Oct Average"," Afghanistan"," AFG",2022
"23",8.170154," Nov Average"," Afghanistan"," AFG",2022
"24",1.6176475," Dec Average"," Afghanistan"," AFG",2022
"25",0.43487096," Jan Average"," Afghanistan"," AFG",2023
"26",2.2194707," Feb Average"," Afghanistan"," AFG",2023
"27",7.1716943," Mar Average"," Afghanistan"," AFG",2023
"28",14.240496," Apr Average"," Afghanistan"," AFG",2023
"29",20.766869," May Average"," Afghanistan"," AFG",2023
"30",26.220325," Jun Average"," Afghanistan"," AFG",2023
"31",27.703423," Jul Average"," Afghanistan"," AFG",2023
"32",27.227215," Aug Average"," Afghanistan"," AFG",2023
"33",21.758528," Sep Average"," Afghanistan"," AFG",2023
"34",14.408291," Oct Average"," Afghanistan"," AFG",2023
"35",7.5988345," Nov Average"," Afghanistan"," AFG",2023
